,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
245,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Six Degrees of Separation,1994,Stockard Channing,Nominee,Actress -- Leading Role,Six Degrees of Separation {'Ouisa Kittredge'},Actress -- Leading Role,NO
246,Best Director - Motion Picture,Schindler's List,1994,Steven Spielberg,Winner,Directing,Steven Spielberg,Directing,YES
247,Best Director - Motion Picture,"Piano, The",1994,Jane Campion,Nominee,Directing,Jane Campion,Directing,NO
248,Best Director - Motion Picture," Remains of the Day, The",1994,James Ivory,Nominee,Directing,James Ivory,Directing,NO
249,Best Motion Picture - Drama,,1995,Forrest Gump,Winner,Best Picture,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Best Picture,YES
250,Best Motion Picture - Drama,,1995,Pulp Fiction,Nominee,Best Picture,"Lawrence Bender, Producer",Best Picture,NO
251,Best Motion Picture - Drama,,1995,Quiz Show,Nominee,Best Picture,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Best Picture,NO
252,Best Motion Picture - Musical or Comedy,,1995,Four Weddings and a Funeral,Nominee,Best Picture,"Duncan Kenworthy, Producer",Best Picture,NO
253,Best Performance by an Actress in a Motion Picture - Drama,Blue Sky,1995,Jessica Lange,Winner,Actress -- Leading Role,Blue Sky {'Carly Marshall'},Actress -- Leading Role,YES
254,Best Performance by an Actress in a Motion Picture - Drama,Nell,1995,Jodie Foster,Nominee,Actress -- Leading Role,Nell {'Nell'},Actress -- Leading Role,NO
255,Best Performance by an Actress in a Motion Picture - Drama,Tom & Viv,1995,Miranda Richardson,Nominee,Actress -- Leading Role,Tom & Viv {'Viv'},Actress -- Leading Role,NO
256,Best Performance by an Actor in a Motion Picture - Drama,Forrest Gump,1995,Tom Hanks,Winner,Actor -- Leading Role,Forrest Gump {'Forrest Gump'},Actor -- Leading Role,YES
257,Best Performance by an Actor in a Motion Picture - Drama,"Shawshank Redemption, The",1995,Morgan Freeman,Nominee,Actor -- Leading Role,The Shawshank Redemption {'Red'},Actor -- Leading Role,NO
258,Best Performance by an Actor in a Motion Picture - Drama,Nobody's Fool,1995,Paul Newman,Nominee,Actor -- Leading Role,Nobody's Fool {'Sully'},Actor -- Leading Role,NO
259,Best Performance by an Actor in a Motion Picture - Drama,Pulp Fiction,1995,John Travolta,Nominee,Actor -- Leading Role,Pulp Fiction {'Vincent Vega'},Actor -- Leading Role,NO
260,Best Director - Motion Picture,Forrest Gump,1995,Robert Zemeckis,Winner,Directing,Robert Zemeckis,Directing,YES
261,Best Director - Motion Picture,Quiz Show,1995,Robert Redford,Nominee,Directing,Robert Redford,Directing,NO
262,Best Director - Motion Picture,Pulp Fiction,1995,Quentin Tarantino,Nominee,Directing,Quentin Tarantino,Directing,NO
